x_value,total_1,total_2
242,1266,1147
243,1267,1150
244,1261,1155
245,1257,1152
246,1258,1151
247,1260,1147
248,1265,1152
249,1273,1147
250,1275,1153
251,1269,1155
252,1265,1161
253,1272,1161
254,1267,1160
255,1265,1164
256,1265,1170
257,1266,1171
258,1264,1166
259,1262,1164
260,1261,1160
261,1261,1159
262,1257,1154
263,1260,1156
264,1261,1157
265,1256,1154
266,1257,1154
267,1262,1152
268,1269,1147
269,1267,1148
270,1269,1154
271,1276,1155
272,1270,1152
273,1268,1147
274,1269,1147
275,1266,1150
276,1270,1150
277,1275,1156
278,1269,1154
279,1267,1158
280,1273,1163
281,1267,1162
282,1272,1160
283,1280,1155
284,1286,1159
285,1282,1157
286,1278,1163
287,1277,1164
288,1273,1168
289,1274,1165
290,1278,1165
291,1284,1169
292,1290,1168
293,1297,1167
294,1304,1173
295,1298,1177
296,1305,1172
297,1312,1168
298,1319,1166
299,1324,1166
300,1323,1167
301,1331,1162
302,1330,1158
303,1328,1162
304,1324,1163
305,1331,1168
306,1334,1168
307,1331,1169
308,1333,1166
309,1331,1171
310,1327,1167
311,1328,1165
312,1332,1171
313,1326,1173
314,1320,1168
315,1321,1174
316,1325,1178
317,1321,1184
318,1316,1179
319,1322,1185
320,1321,1185
321,1319,1190
322,1327,1185
323,1334,1182
324,1333,1182
325,1337,1178
326,1333,1181
327,1331,1179
328,1326,1175
329,1329,1178
330,1323,1180
331,1321,1186
332,1320,1192
333,1321,1193
334,1321,1188
335,1315,1184
336,1318,1188
337,1324,1192
338,1330,1192
339,1337,1191
340,1336,1187
341,1340,1184
342,1335,1187
343,1333,1192
344,1327,1197
345,1325,1200
346,1331,1196
347,1333,1191
348,1340,1192
349,1347,1196
350,1343,1199
351,1346,1199
352,1344,1196
353,1345,1200
354,1339,1202
355,1343,1206
356,1342,1209
357,1344,1210
358,1341,1215
359,1346,1214
360,1350,1213
361,1357,1218
362,1357,1224
363,1364,1223
364,1360,1228
365,1361,1231
366,1368,1228
367,1370,1233
368,1372,1233
369,1378,1231
370,1377,1229
371,1380,1225
372,1388,1228
373,1387,1229
374,1383,1229
375,1379,1229
376,1387,1235
377,1385,1241
378,1393,1245
379,1400,1247
380,1407,1249
381,1414,1244
382,1417,1250
383,1424,1253
384,1419,1259
385,1422,1264
386,1420,1261
387,1424,1262
388,1432,1265
389,1430,1263
390,1436,1264
391,1439,1264
392,1439,1264
393,1445,1270
394,1446,1274
395,1441,1271
396,1447,1277
397,1452,1280
398,1452,1279
399,1458,1283
400,1460,1286
401,1463,1291
402,1458,1287
403,1460,1291
404,1460,1286
405,1468,1286
406,1469,1292
407,1473,1293
408,1467,1296
409,1473,1295
410,1481,1301
411,1487,1301
412,1488,1305
413,1492,1300
414,1495,1298
415,1497,1295
416,1494,1295
417,1498,1301
418,1501,1306
419,1507,1305
420,1510,1308
421,1505,1313
422,1502,1314
423,1496,1317
424,1491,1312
425,1499,1315
426,1497,1310
427,1498,1308
428,1498,1313
429,1506,1311
430,1509,1316
431,1507,1317
432,1509,1323
433,1506,1328
434,1503,1331
435,1509,1334
436,1510,1337
437,1505,1336
438,1499,1335
439,1497,1341
440,1500,1340
441,1507,1344
442,1504,1349
443,1499,1355
444,1507,1354
445,1514,1358
446,1522,1358
447,1527,1359
448,1521,1364
449,1520,1361
450,1516,1359
451,1511,1355
452,1509,1351
453,1516,1353
454,1511,1349
455,1505,1348
456,1504,1346
457,1504,1352
458,1506,1356
459,1508,1358
460,1505,1362
461,1501,1365
462,1498,1363
463,1503,1361
464,1502,1366
465,1506,1369
466,1502,1368
467,1496,1363
468,1500,1365
469,1508,1361
470,1507,1362
471,1513,1359
472,1511,1362
473,1513,1357
474,1520,1361
475,1522,1356
476,1528,1354
477,1523,1352
478,1525,1353
479,1521,1354
480,1517,1360
481,1525,1355
482,1531,1351
483,1525,1351
484,1523,1353
485,1521,1350
486,1529,1351
487,1533,1357
488,1531,1359
489,1531,1356
490,1537,1351
491,1533,1349
492,1538,1353
493,1544,1348
494,1544,1349
495,1550,1348
496,1557,1351
497,1552,1356
498,1556,1355
499,1559,1350
500,1560,1346
501,1557,1350
502,1554,1350
503,1552,1354
504,1548,1360
505,1548,1359
506,1551,1355
507,1551,1360
508,1545,1366
509,1549,1367
510,1547,1365
511,1544,1362
512,1540,1363
513,1537,1367
514,1545,1370
515,1542,1372
516,1543,1368
517,1537,1365
518,1543,1371
519,1540,1370
520,1543,1366
521,1544,1362
522,1551,1357
523,1549,1362
524,1545,1358
525,1545,1362
526,1542,1368
527,1541,1373
528,1541,1372
529,1540,1367
530,1546,1369
531,1542,1364
532,1547,1360
533,1553,1361
534,1549,1367
535,1556,1365
536,1552,1370
537,1550,1371
538,1548,1377
539,1550,1375
540,1558,1379
541,1560,1382
542,1557,1383
543,1559,1380
544,1557,1377
545,1556,1374
546,1555,1369
547,1560,1365
548,1556,1361
549,1555,1357
550,1552,1360
551,1546,1362
552,1551,1362
553,1552,1368
554,1554,1374
555,1551,1380
556,1548,1385
557,1553,1386
558,1559,1386
559,1562,1389
560,1567,1384
561,1564,1389
562,1572,1388
563,1575,1388
564,1576,1393
565,1575,1388
566,1571,1394
567,1569,1398
568,1566,1397
569,1564,1395
570,1572,1398
571,1574,1399
572,1570,1403
573,1570,1403
574,1567,1398
575,1565,1400
576,1570,1396
577,1568,1393
578,1567,1392
579,1572,1392
580,1567,1387
581,1570,1389
582,1569,1385
583,1574,1386
584,1579,1381
585,1573,1379
586,1572,1377
587,1574,1381
588,1579,1376
589,1585,1375
590,1586,1380
591,1593,1384
592,1596,1390
593,1604,1385
594,1598,1391
595,1606,1396
596,1605,1396
597,1603,1396
598,1598,1394
599,1604,1400
600,1605,1405
601,1608,1406
602,1605,1404
603,1599,1406
604,1605,1405
605,1601,1408
606,1597,1406
607,1597,1406
608,1598,1406
609,1601,1402
610,1598,1401
611,1596,1402
612,1594,1406
613,1592,1403
614,1587,1402
615,1593,1400
616,1593,1399
617,1593,1394
618,1591,1398
619,1595,1399
620,1589,1405
621,1591,1402
622,1586,1400
623,1583,1405
624,1588,1402
625,1585,1408
626,1586,1414
627,1590,1410
628,1585,1412
629,1583,1413
630,1579,1410
631,1581,1415
632,1588,1421
633,1590,1427
634,1593,1422
635,1590,1417
636,1596,1420
637,1598,1424
638,1606,1419
639,1600,1423
640,1601,1428
641,1609,1430
642,1609,1427
643,1616,1424
644,1621,1420
645,1629,1416
646,1627,1411
647,1632,1406
648,1639,1404
649,1647,1408
650,1643,1408
651,1649,1404
652,1643,1400
653,1642,1402
654,1639,1399
655,1647,1397
656,1641,1401
657,1644,1405
658,1640,1407
659,1637,1413
660,1632,1412
661,1633,1409
662,1628,1410
663,1629,1412
664,1635,1408
665,1640,1408
666,1641,1414
667,1638,1419
668,1635,1420
669,1637,1415
670,1642,1414
671,1637,1414
672,1638,1418
673,1645,1419
674,1645,1422
675,1651,1419
676,1651,1414
677,1651,1420
678,1647,1415
679,1653,1420
680,1658,1418
681,1655,1421
682,1659,1424
683,1657,1426
684,1662,1428
685,1663,1427
686,1669,1428
687,1668,1430
688,1664,1432
689,1659,1434
690,1659,1433
691,1655,1438
692,1653,1444
693,1648,1444
694,1651,1448
695,1647,1452
696,1653,1454
697,1648,1453
698,1647,1459
699,1644,1462
700,1640,1464
701,1634,1460
702,1632,1460
703,1632,1464
704,1628,1466
705,1623,1468
706,1620,1465
707,1626,1464
708,1620,1463
709,1626,1458
710,1623,1455
711,1620,1451
712,1620,1451
713,1627,1447
714,1631,1452
715,1627,1458
716,1625,1462
717,1630,1459
718,1629,1456
719,1631,1459
720,1638,1457
721,1645,1460
722,1645,1463
723,1648,1468
724,1644,1473
725,1643,1478
726,1650,1478
727,1647,1477
728,1644,1478
729,1640,1478
730,1634,1479
731,1637,1483
732,1645,1478
733,1649,1483
734,1651,1487
735,1647,1489
736,1646,1494
737,1654,1500
738,1662,1506
739,1669,1506
740,1663,1501
741,1661,1500
742,1659,1500
743,1660,1502
744,1655,1499
745,1653,1501
746,1656,1499
747,1656,1496
748,1654,1501
749,1660,1507
750,1664,1509
751,1669,1506
752,1667,1509
753,1674,1510
754,1681,1516
755,1677,1514
756,1676,1509
757,1682,1514
758,1683,1514
759,1680,1509
760,1680,1512
761,1684,1509
762,1686,1509
763,1687,1509
764,1682,1508
765,1678,1506
766,1681,1511
767,1677,1510
768,1674,1506
769,1681,1511
770,1679,1516
771,1679,1520
772,1687,1517
773,1693,1512
774,1687,1510
775,1682,1508
776,1678,1503
777,1675,1500
778,1677,1496
779,1685,1495
780,1686,1498
781,1687,1495
782,1685,1493
783,1690,1492
784,1696,1495
785,1690,1496
786,1697,1494
787,1698,1494
788,1704,1496
789,1698,1500
790,1703,1497
791,1699,1503
792,1700,1504
793,1703,1504
794,1711,1499
795,1711,1502
796,1710,1498
797,1713,1503
798,1719,1507
799,1713,1507
800,1708,1507
801,1710,1507
802,1706,1513
803,1709,1511
804,1708,1512
805,1702,1518
806,1697,1518
807,1701,1519
808,1707,1518
809,1706,1517
810,1701,1518
811,1702,1514
812,1697,1516
813,1700,1522
814,1702,1523
815,1706,1526
816,1710,1531
817,1710,1534
818,1705,1536
819,1700,1542
820,1699,1540
821,1697,1537
822,1704,1541
823,1712,1539
824,1714,1545
825,1722,1540
826,1724,1544
827,1730,1548
828,1729,1552
829,1734,1554
830,1735,1549
831,1737,1548
832,1742,1544
833,1738,1544
834,1734,1539
835,1730,1539
836,1726,1544
837,1728,1542
838,1723,1545
839,1717,1544
840,1722,1546
841,1721,1549
842,1718,1544
843,1718,1542
844,1719,1548
845,1726,1544
846,1722,1550
847,1726,1548
848,1722,1546
849,1720,1544
850,1716,1543
851,1719,1548
852,1719,1554
853,1722,1552
854,1726,1549
855,1726,1550
856,1729,1556
857,1728,1553
858,1727,1557
859,1734,1557
860,1732,1558
861,1733,1558
862,1734,1558
863,1732,1557
864,1737,1560
865,1744,1563
866,1739,1568
867,1738,1566
868,1734,1570
869,1733,1574
870,1731,1573
871,1739,1571
872,1738,1574
873,1735,1580
874,1740,1580
875,1745,1579
876,1752,1584
877,1756,1581
878,1763,1581
879,1771,1583
880,1768,1589
881,1775,1594
882,1781,1596
883,1776,1602
884,1783,1599
885,1787,1599
886,1790,1596
887,1796,1591
888,1803,1593
889,1798,1595
890,1797,1597
891,1802,1594
892,1806,1590
893,1809,1591
894,1814,1597
895,1814,1600
896,1821,1601
897,1824,1597
898,1832,1598
899,1837,1596
900,1835,1600
901,1843,1602
902,1839,1599
903,1844,1601
904,1839,1607
905,1835,1610
906,1839,1607
907,1841,1610
908,1835,1607
909,1831,1608
910,1839,1603
911,1835,1607
912,1841,1604
913,1838,1606
914,1834,1609
915,1831,1610
916,1826,1606
917,1834,1607
918,1839,1603
919,1845,1598
920,1853,1594
921,1853,1594
922,1860,1597
923,1866,1600
924,1871,1599
925,1875,1603
926,1878,1608
927,1881,1612
928,1879,1611
929,1884,1608
930,1890,1610
931,1895,1608
932,1898,1614
933,1903,1618
934,1907,1617
935,1908,1623
936,1911,1619
937,1906,1617
938,1900,1623
939,1897,1628
940,1902,1628
941,1899,1625
942,1899,1629
943,1899,1626
944,1897,1628
945,1902,1631
946,1896,1630
947,1902,1631
948,1902,1636
949,1897,1631
950,1892,1630
951,1894,1632
952,1900,1629
953,1903,1628
954,1902,1634
955,1898,1629
956,1901,1630
957,1901,1633
958,1900,1639
959,1906,1638
960,1909,1634
961,1905,1639
962,1906,1635
963,1911,1633
964,1914,1639
965,1911,1634
966,1908,1637
967,1902,1634
968,1910,1629
969,1908,1631
970,1915,1636
971,1923,1634
972,1929,1640
973,1924,1640
974,1928,1638
975,1930,1636
976,1930,1632
977,1929,1631
978,1925,1635
979,1921,1639
980,1920,1639
981,1924,1643
982,1918,1642
983,1924,1644
984,1927,1639
985,1922,1642
986,1916,1648
987,1920,1649
988,1925,1652
989,1922,1651
990,1923,1654
991,1929,1650
992,1935,1653
993,1934,1648
994,1934,1654
995,1933,1649
996,1934,1649
997,1938,1654
998,1937,1655
999,1940,1650
1000,1938,1656
1001,1944,1660
1002,1943,1663
1003,1949,1668
1004,1944,1671
1005,1952,1676
1006,1955,1672
1007,1951,1673
1008,1952,1673
1009,1954,1679
1010,1948,1684
1011,1949,1681
1012,1945,1679
1013,1951,1674
1014,1958,1669
1015,1956,1665
1016,1956,1666
1017,1950,1666
1018,1946,1665
1019,1951,1669
1020,1948,1665
1021,1945,1671
1022,1948,1668
1023,1950,1674
1024,1953,1674
1025,1960,1674
1026,1963,1678
1027,1966,1674
1028,1962,1673
1029,1961,1672
1030,1963,1676
1031,1958,1679
1032,1956,1680
1033,1956,1682
1034,1961,1682
1035,1957,1685
1036,1955,1686
1037,1956,1692
1038,1964,1698
1039,1963,1694
1040,1964,1695
1041,1958,1690
1042,1961,1695
1043,1956,1694
1044,1962,1695
1045,1960,1691
1046,1965,1696
1047,1968,1693
1048,1971,1699
1049,1974,1695
1050,1972,1690
1051,1980,1687
1052,1981,1683
1053,1984,1682
1054,1984,1684
1055,1978,1690
1056,1985,1694
1057,1980,1696
1058,1981,1699
1059,1987,1698
1060,1990,1699
1061,1986,1701
1062,1988,1696
1063,1983,1698
1064,1982,1702
1065,1988,1702
1066,1985,1702
1067,1992,1699
1068,1995,1699
1069,1991,1700
1070,1998,1697
1071,1996,1693
1072,2004,1692
1073,2009,1692
1074,2012,1691
1075,2010,1687
1076,2014,1688
1077,2009,1684
1078,2013,1687
1079,2016,1693
1080,2016,1695
1081,2017,1691
1082,2024,1696
1083,2024,1695
1084,2020,1696
1085,2024,1694
1086,2031,1689
1087,2028,1687
1088,2035,1691
1089,2038,1686
1090,2036,1686
1091,2040,1684
1092,2047,1684
1093,2045,1680
1094,2052,1681
1095,2049,1682
1096,2047,1685
1097,2050,1688
1098,2058,1685
1099,2052,1686
1100,2059,1689
1101,2066,1685
1102,2061,1681
1103,2060,1686
1104,2060,1686
1105,2058,1683
1106,2055,1683
1107,2052,1685
1108,2048,1685
1109,2044,1685
1110,2051,1688
1111,2048,1689
1112,2052,1693
1113,2058,1689
1114,2063,1693
1115,2062,1698
1116,2059,1695
1117,2058,1698
1118,2056,1702
1119,2060,1701
1120,2058,1696
1121,2058,1695
1122,2057,1701
1123,2060,1697
1124,2065,1700
1125,2071,1705
1126,2073,1710
1127,2067,1715
1128,2061,1720
1129,2059,1720
1130,2054,1716
1131,2050,1715
1132,2044,1718
1133,2043,1717
1134,2043,1712
1135,2044,1715
1136,2052,1713
1137,2060,1715
1138,2067,1721
1139,2062,1722
1140,2063,1721
1141,2069,1719
1142,2073,1715
1143,2070,1721
1144,2073,1718
1145,2080,1716
1146,2082,1711
1147,2083,1706
1148,2086,1703
1149,2093,1706
1150,2091,1709
1151,2098,1709
1152,2093,1715
1153,2088,1712
1154,2089,1718
1155,2095,1716
1156,2097,1716
1157,2095,1715
1158,2095,1711
1159,2089,1709
1160,2091,1704
1161,2087,1706
1162,2084,1701
1163,2082,1704
1164,2086,1703
1165,2092,1698
1166,2095,1698
1167,2098,1695
1168,2097,1691
1169,2096,1694
1170,2096,1689
1171,2095,1692
1172,2095,1697
1173,2089,1693
1174,2084,1693
1175,2083,1699
1176,2086,1700
1177,2081,1702
1178,2076,1702
1179,2074,1697
1180,2071,1692
1181,2076,1695
1182,2080,1699
1183,2085,1701
1184,2088,1705
1185,2086,1709
1186,2091,1704
1187,2098,1707
1188,2105,1710
1189,2103,1716
1190,2103,1719
1191,2107,1714
1192,2105,1718
1193,2103,1714
1194,2103,1713
1195,2108,1714
1196,2110,1718
1197,2116,1724
1198,2122,1729
1199,2125,1731
1200,2121,1727
1201,2118,1723
1202,2115,1722
1203,2113,1727
1204,2114,1726
1205,2115,1731
1206,2113,1729
1207,2112,1731
1208,2120,1731
1209,2114,1727
1210,2112,1723
1211,2113,1729
1212,2118,1725
1213,2118,1727
1214,2118,1731
1215,2125,1728
1216,2133,1729
1217,2135,1730
1218,2134,1732
1219,2129,1730
1220,2129,1731
1221,2132,1735
1222,2128,1738
1223,2131,1738
1224,2128,1733
1225,2136,1735
1226,2133,1733
1227,2140,1738
1228,2143,1733
1229,2151,1730
1230,2151,1732
1231,2149,1729
1232,2153,1734
1233,2161,1739
1234,2159,1740
1235,2158,1741
1236,2164,1740
1237,2170,1743
1238,2174,1739
1239,2173,1735
1240,2175,1735
1241,2178,1731
1242,2177,1731
1243,2175,1734
1244,2180,1733
1245,2175,1732
1246,2179,1732
1247,2181,1736
1248,2188,1740
1249,2195,1740
1250,2193,1735
1251,2195,1741
1252,2190,1744
1253,2188,1746
1254,2191,1747
1255,2186,1742
1256,2193,1740
1257,2201,1744
1258,2197,1750
1259,2202,1748
1260,2210,1753
1261,2204,1756
1262,2204,1755
1263,2206,1758
1264,2204,1761
1265,2206,1767
1266,2209,1763
1267,2212,1759
1268,2209,1764
1269,2205,1761
1270,2213,1762
1271,2221,1760
1272,2219,1760
1273,2218,1766
1274,2220,1763
1275,2217,1764
1276,2212,1761
1277,2207,1757
1278,2210,1756
1279,2205,1757
1280,2211,1758
1281,2218,1755
1282,2219,1750
1283,2215,1749
1284,2214,1754
1285,2214,1749
1286,2218,1755
1287,2212,1756
1288,2211,1756
1289,2217,1761
1290,2222,1756
1291,2230,1760
1292,2226,1758
1293,2225,1754
1294,2224,1758
1295,2228,1759
1296,2230,1763
1297,2234,1759
1298,2234,1763
1299,2235,1765
1300,2238,1769
1301,2240,1767
1302,2239,1766
1303,2245,1770
1304,2239,1768
1305,2243,1764
1306,2243,1759
1307,2242,1756
1308,2238,1755
1309,2235,1759
1310,2233,1758
1311,2229,1759
1312,2228,1758
1313,2229,1757
1314,2224,1756
1315,2228,1753
1316,2230,1757
1317,2233,1760
1318,2239,1761
1319,2246,1757
1320,2252,1763
1321,2248,1760
1322,2251,1765
1323,2248,1763
1324,2248,1760
1325,2243,1761
1326,2246,1767
1327,2252,1762
1328,2250,1761
1329,2251,1765
1330,2258,1765
1331,2252,1769
1332,2246,1775
1333,2253,1772
1334,2251,1767
1335,2248,1764
1336,2243,1770
1337,2242,1771
1338,2249,1777
1339,2256,1777
1340,2253,1782
1341,2256,1788
1342,2256,1792
1343,2253,1788
1344,2252,1783
1345,2253,1787
1346,2260,1783
1347,2258,1788
1348,2252,1791
1349,2246,1791
1350,2250,1792
1351,2255,1793
1352,2258,1793
1353,2254,1798
1354,2251,1793
1355,2251,1798
1356,2249,1803
1357,2247,1809
1358,2244,1804
1359,2241,1808
1360,2238,1808
1361,2246,1810
1362,2244,1805
1363,2250,1803
1364,2255,1805
1365,2254,1808
1366,2249,1811
1367,2250,1815
1368,2250,1810
1369,2253,1816
1370,2256,1814
1371,2253,1814
1372,2252,1820
1373,2252,1815
1374,2250,1816
1375,2248,1822
1376,2243,1819
1377,2247,1820
1378,2248,1817
1379,2252,1816
1380,2247,1820
1381,2246,1817
1382,2243,1820
1383,2247,1823
1384,2241,1824
1385,2249,1830
1386,2245,1828
1387,2247,1824
1388,2241,1828
1389,2241,1830
1390,2237,1831
1391,2242,1828
1392,2248,1826
1393,2246,1832
1394,2247,1837
1395,2242,1837
1396,2248,1836
1397,2255,1831
1398,2253,1829
1399,2253,1825
1400,2256,1823
1401,2250,1819
1402,2244,1822
1403,2244,1824
1404,2247,1825
1405,2244,1831
1406,2239,1830
1407,2245,1827
1408,2240,1826
1409,2246,1822
1410,2253,1828
1411,2255,1829
1412,2253,1832
1413,2256,1829
1414,2264,1829
1415,2260,1829
1416,2260,1826
1417,2264,1831
1418,2261,1832
1419,2258,1830
1420,2262,1827
1421,2270,1828
1422,2272,1827
1423,2266,1823
1424,2269,1819
1425,2273,1816
1426,2270,1819
1427,2268,1821
1428,2264,1823
1429,2258,1823
1430,2253,1822
1431,2261,1828
1432,2263,1824
1433,2264,1827
1434,2267,1823
1435,2271,1820
1436,2275,1817
1437,2275,1823
1438,2271,1823
1439,2274,1818
1440,2275,1818
1441,2270,1822
1442,2269,1828
1443,2267,1833
1444,2265,1831
1445,2268,1835
1446,2264,1831
1447,2272,1832
1448,2272,1827
1449,2276,1829
1450,2278,1828
1451,2284,1834
1452,2290,1834
1453,2285,1835
1454,2281,1835
1455,2282,1834
1456,2286,1831
1457,2294,1832
1458,2300,1831
1459,2295,1832
1460,2293,1836
1461,2297,1840
1462,2297,1840
1463,2300,1835
1464,2296,1833
1465,2295,1831
1466,2301,1828
1467,2302,1824
1468,2299,1830
1469,2304,1830
1470,2300,1834
1471,2297,1840
1472,2298,1844
1473,2301,1842
1474,2297,1841
1475,2303,1841
1476,2298,1836
1477,2304,1834
1478,2299,1839
1479,2303,1845
1480,2308,1842
1481,2312,1839
1482,2307,1839
1483,2312,1837
1484,2313,1832
1485,2315,1831
1486,2314,1833
1487,2320,1834
1488,2314,1829
1489,2310,1833
1490,2318,1836
1491,2316,1840
1492,2321,1835
1493,2316,1835
1494,2312,1830
1495,2310,1836
1496,2311,1834
1497,2315,1831
1498,2323,1828
1499,2323,1831
1500,2329,1828
1501,2334,1823
1502,2328,1818
1503,2332,1823
1504,2329,1820
1505,2335,1824
1506,2342,1829
1507,2345,1829
1508,2341,1827
1509,2335,1827
1510,2342,1824
1511,2338,1819
1512,2338,1817
1513,2339,1822
1514,2347,1822
1515,2350,1820
1516,2351,1816
1517,2350,1820
1518,2348,1821
1519,2342,1824
1520,2346,1820
1521,2344,1820
1522,2351,1825
1523,2356,1824
1524,2357,1823
1525,2357,1822
1526,2358,1823
1527,2364,1826
1528,2369,1826
1529,2365,1823
1530,2365,1823
1531,2373,1820
1532,2376,1817
1533,2370,1816
1534,2371,1813
1535,2379,1817
1536,2376,1817
1537,2380,1821
1538,2382,1824
1539,2384,1830
1540,2381,1834
1541,2389,1839
1542,2394,1843
1543,2388,1842
1544,2388,1838
1545,2394,1842
1546,2388,1837
1547,2391,1841
1548,2394,1844
1549,2393,1841
1550,2400,1845
1551,2394,1844
1552,2400,1850
1553,2395,1852
1554,2391,1855
1555,2396,1858
1556,2400,1858
1557,2401,1862
1558,2399,1865
1559,2394,1865
1560,2389,1865
1561,2383,1861
1562,2383,1861
1563,2387,1863
1564,2386,1866
1565,2385,1868
1566,2388,1871
1567,2389,1876
1568,2391,1875
1569,2391,1875
1570,2395,1871
1571,2392,1877
1572,2399,1879
1573,2404,1880
1574,2403,1884
1575,2404,1886
1576,2404,1890
1577,2410,1889
1578,2417,1889
1579,2423,1894
1580,2424,1891
1581,2418,1896
1582,2420,1899
1583,2415,1897
1584,2414,1898
1585,2418,1904
1586,2415,1905
1587,2418,1905
1588,2421,1903
1589,2418,1898
1590,2426,1901
1591,2420,1899
1592,2427,1897
1593,2426,1896
1594,2431,1893
1595,2438,1891
1596,2439,1888
1597,2438,1894
1598,2434,1898
1599,2437,1903
1600,2438,1902
1601,2434,1901
1602,2434,1899
1603,2439,1896
1604,2441,1894
1605,2444,1899
1606,2449,1896
1607,2456,1900
1608,2453,1902
1609,2458,1904
1610,2465,1910
1611,2469,1908
1612,2477,1908
1613,2484,1908
1614,2491,1904
1615,2485,1904
1616,2493,1903
1617,2488,1901
1618,2494,1903
1619,2491,1908
1620,2499,1905
1621,2499,1903
1622,2502,1902
1623,2506,1898
1624,2508,1894
1625,2510,1897
1626,2510,1902
1627,2515,1905
1628,2522,1906
1629,2528,1910
1630,2523,1909
1631,2522,1905
1632,2530,1911
1633,2533,1908
1634,2536,1914
1635,2540,1910
1636,2537,1905
1637,2532,1901
1638,2536,1896
1639,2537,1891
1640,2533,1888
1641,2535,1884
1642,2543,1889
1643,2550,1886
1644,2554,1892
1645,2553,1887
1646,2560,1884
1647,2554,1887
1648,2560,1885
1649,2555,1890
1650,2561,1891
1651,2565,1892
1652,2569,1897
1653,2574,1894
1654,2579,1891
1655,2574,1887
1656,2576,1893
1657,2580,1898
1658,2584,1903
1659,2587,1904
1660,2592,1902
1661,2600,1907
1662,2596,1906
1663,2601,1912
1664,2597,1910
